Arxiv ID, Title, Authors, Type
1502.00460, "The non-convex shape of (234) Barbara, the first Barbarian", Tanga et al., LUNCH
1501.07764, "Flow Patterns around Dark Matter Halos: the Link between Halo Dynamical Properties and Large Scale Tidal Field", Shi et al., RES
1502.00580, "Perturbative interaction approach to cosmological structure formation", Ali-Haimoud, NEW
1502.00312, "Warkworth 12m VLBI Station: WARK12M - 2014", Weston et al., RES
1502.00022, "Connecting Faint End Slopes of the Lyman-α emitter and Lyman-break Galaxy Luminosity Functions", Gronke et al., RES
1502.00008, "Gravitational lens modelling in a citizen science context", Kung et al., NEW
1502.00391, "The accretion history of dark matter halos III: A physical model for the concentration-mass relation", Correa et al., RES
1502.00292, "Giant disk galaxies : Where environment trumps mass in galaxy evolution", Courtois et al., RES
1501.07653, "Misalignment between cold gas and stellar components in early-type galaxies", Ivy Wong et al., RES
1502.00640, "The Cosmic Infrared Background seen by ALMA", Carniani et al., RES
1502.00632, "Hunting for Supermassive Black Holes in Nearby Galaxies with the Hobby-Eberly Telescope", van den Bosch et al., RES
1502.00775, "The Blackhole-Dark Matter Halo Connection", Sabra et al., RES
1502.00996, "Learning from FITS: Limitations in use in modern astronomical research", Thomas et al., REF
1502.01221, "Brightest group galaxies and the large-scale environment", Luparello et al., RES
