Arxiv ID, Title, Authors, Type 
1509.00064, "Estimating the power spectrum covariance matrix with fewer mock samples", Pearson & Samushia ,RES NEW
1509.00010, "The view from the boundary: a new void stacking method", Cautun et al., RES
1509.00034, "What shapes the far-infrared spectral energy distributions of galaxies?", Safarzadeh et al., RES
1509.01250, "Push it to the limit: Local Group constraints on high-redshift stellar mass functions for Mstar > 10^5 Msun", Graus et al., RES
1509.01255, "The Caterpillar Project: A Large Suite of Milky Way Sized Halos", Griffen et al., RES
1509.01699, "General relativity and cosmic structure formation", Adamek et al., NEW RES
1508.03043, "SETI via Leakage from Light Sails in Exoplanetary Systems", Guillochon & Loeb, CBU FUN NEW
1509.00853, "The impact of stellar feedback on the structure, size and morphology of galaxies in Milky Way size dark matter haloes", Agertz & Kravtsov, RES 
1509.00870, "Assessing Galaxy Limiting Magnitudes in Large Optical Surveys", Rykoff et al., RES NEW
1509.00892, "Cosmic Ray Small Scale Anisotropies and Local Turbulent Magnetic Fields", Lopez-Barquero et al., RES NEW
1509.01101, "The Lyman Continuum escape fraction of galaxies at z=3.3 in the VUDS-LBC/COSMOS field", Grazian et al., RES
1509.02163, "Globular clusters as the relics of regular star formation in 'normal' high-redshift galaxies", Diederik, RES NEW
1509.02175, "A unified model for the spatial and mass distribution of subhaloes", RES
1509.02191, "Effective Theory of Dark Energy at Redshift Survey Scales", Gleyzes et al., RES
1509.02622, "The Arrowhead Mini-Supercluster of Galaxies", Pomarede et al., RES
1509.02524, "The MeSsI (Merging Systems Identification) Algorithm & Catalogue",de los Rios et al., RES
1509.02529, "The Confinement of Star-Forming Galaxies into a Main Sequence through Episodes of Gas Compaction, Depletion, and Replenishment", Tacchella et al., RES
1509.02833, "Shadow of a Colossus: A z=2.45 Galaxy Protocluster Detected in 3D Ly-a Forest Tomographic Mapping of the COSMOS Field", K.G. Lee et al., RES
1509.02920, "Massive black hole and gas dynamics in mergers of galaxy nuclei - II. Black hole sinking in star-forming nuclear discs", Lupi et al., RES
1509.02938, "Probing dark matter substructure with pulsar timing: I. Constraints on ultracompact minihalos", Clark et al., RES NEW
1509.02941, "Probing dark matter substructure with pulsar timing: II. Improved limits on small-scale cosmology", Clark et al., RES NEW
1509.02912, "Are globular clusters the natural outcome of regular high-redshift star formation?", Diederik Kruijssen, RES NEW
1509.02935, "Ultraviolet Luminosity Density of the Universe During the Epoch of Reionization", Mitchell-Wynne et al., RES
