ArxivID, Title, Authors, Type
1408.7026, "Using Virtual Observatory with Python: querying remote astronomical databases", Paletou & Zoloutukhin, NEW 
1409.0598, "Analytical solutions for weak black hole kicks", Lingam, RES
1409.0880, "The Laniakea supercluster of galaxies", Tully et al., RES
1409.1124, "EZmocks: extending the Zel'dovich approximation to generate mock galaxy catalogues with accurate clustering statistics", Chuang et al., RES
1409.1171, "Combined CO & Dust Scaling Relations of Depletion Time and Molecular Gas Fractions with Cosmic Time, Specific Star Formation Rate and Stellar Mass", Genzel et al., RES
1409.1179, "Orbital parameters of infalling satellite haloes in the hierarchical LCDM model", Jiang et al., RES
1409.0855, "Quasar Ionization Front Lyα Emission in an Inhomogeneous Intergalactic Medium", Davies et al., RES
1409.1791, "On Asymmetric Distributions of Satellite Galaxies", Bowden et al., RES
1409.1630, "Delayed Star Formation in Isolated Dwarf Galaxies: HST Star Formation History of the Aquarius Dwarf Irregular", RES
1409.1598, "Precipitation, star formation, and feedback in the universe's largest galaxies", Voit et al., RES
1409.1576, "Machine Learning Etudes in Astrophysics: Selection Functions for Mock Cluster Catalogs", Hajian et al., RES
1409.1797, "The kinematical center and mass profile of the Local Group", Whiting, RES
1409.1832, "No evidence for evolution in the typical rest-frame UV sizes or morphologies of L_* galaxies at 4<z<8", Curtis-Lake et al., RES
1409.2224, "Isolating relativistic effects in large-scale structure", Bonvin et al., RES
1409.2640, "On the amplification of magnetic fields in cosmic filaments and galaxy clusters", Vazza et al., NEW
1409.2832, "Comparing Simple Quasar Demographics Models", Veale et al., RES
1409.2873, "High-redshift quasars host galaxies: is there a stellar mass crisis?", Valiante et al., RES
1409.2883, "A Uniform History for Galaxy Evolution", Steinhardt & Speagle, RES
"Characterizing SL2S galaxy groups using the Einstein radius", Verdugo et al., RES
1409.2750, "Coming of Age in the Dark Sector: How Dark Matter Haloes grow their Gravitational Potential Wells", van den Bosch et al., RES
1409.3007, "Three-point phase correlations: A new measure of non-linear large-scale structure", Wolstenhulme et al., RES
1211.5213, "A Robust Measure of Cosmic Structure beyond the Power-Spectrum: Cosmic Filaments and the Temperature of Dark Matter", Obreschkow et al., RES
1409.3580, "Testing cosmic geometry without dynamic distortions using voids", Hamaus et al., RES
1409.3223, "Relativistic Effect in Galaxy Clustering", Yoo, RES
1409.3544, "Galaxy UV-luminosity Function and Reionisation Constraints on Axion Dark Matter", Bozek et al., RES
1409.4296, "Commons at the Intersection of Peer Production, Citizen Science, and Big Data: Galaxy Zoo", Madison, SOC
1409.4291, "Ideas for Citizen Science in Astronomy", Marshall et al, SOC
1409.3849, "Large-Scale Clustering of Cosmic Voids", Chan et al., RES
1409.4779, "IAS15: A fast, adaptive, high-order integrator for gravitational dynamics, accurate to machine precision over a billion orbits", Rein & Spiegel, RES
1409.4768, "Ultrafaint Dwarfs - Star Formation and Chemical Evolution in the Smallest Galaxies", Webster et al., RES
1409.5066, "Accuracy of cosmological parameters using the baryon acoustic scale", Thepsuriya &  Lewis, RES
1409.4769, "A Supermassive Black Hole in an Ultracompact Dwarf Galaxy", Seth et al., RES
1409.4772, "The Very Faint End of the UV Luminosity Function over Cosmic Time: Constraints from the Local Group Fossil Record", Weisz et al., RES
1409.4480, "The Lyman-α signature of the first galaxies", 1409.4480, Smith et al., RES
1409.5228, "The physical origin of the universal accretion history of dark matter halos", Correa et al., RES
1409.6217, "Standard rulers, candles, and clocks from the low-redshift Universe", Heavens et al., RES
1409.5433, "The Herschel view of the dominant mode of galaxy growth from z=4 to the present day", Schreiber et al., RES
0911.2689, "Spectro-Perfectionism: An Algorithmic Framework for Photon Noise-Limited Extraction of Optical Fiber Spectroscopy", Bolton & Schlegel, RES
1409.5632, "Lyman-alpha Forest Tomography from Background Galaxies: The First Megaparsec-Resolution Large-Scale Structure Map at z>2", Lee et al., RES
1409.5826, "Explicit Integration with GPU Acceleration for Large Kinetic Networks", Brock et al., GPU
1409.6294, "Separate Universe Simulations", Wagner et al., RES
1409.5796, "Evolution of the dust emission of massive galaxies up to z=4 and constraints on their dominant mode of star formation", Bethermin et al., RES
1409.5792, "Impact of star formation history on the measurement of star formation rates", Boquien et al. 
1409.5905, "SARCS strong-lensing galaxy groups: II - mass-concentration relation and strong-lensing bias", Foex et al., RES
1409.6308, "Past and present cosmic structure in the SDSS DR7 main sample", Jasche et al., RES
1409.6320, "Lyman Alpha and MgII as Probes of Galaxies and their Environments", Barnes et al., RES
1409.6549, "A Relativistic view on large scale N-body simulations", Rigopoulus, RES
1409.7150, "Spin alignments of spiral galaxies within the large-scale structure from SDSS DR7", Zhang et al., RES
1409.6809, "Sampling Artifact in Volume Weighted Velocity Measurement.--- II. Detection in simulations and comparison with theoretical modelling", Zheng et al., RES
1409.7634, "Tracing the Cosmic Web substructure with Lagrangian submanifold", Shandarin & Medvedev, RES
1409.7621, "Modeling cosmic void statistics", Hamaus et al., RES
1409.7395, "GIZMO: A New Class of Accurate, Mesh-Free Hydrodynamic Simulation Methods", Hopkins, NEW
1409.8304, "HST Emission Line Galaxies at z ~ 2: The Ly-alpha Escape Fraction", Ciardullo et al., RES
1409.8347, "The Lyman-alpha Reference Sample: I. Survey outline and first results for Markarian 259", Ostlin et al., RES
1409.8661, "The Universe as a Cellular System", Aragon-Calvo, RES
